nom	genre	editeur	date_sortie
Dragon Ball Xenoverse 2	Fighting	Bandai Namco Ent.	Oct 28, 2016
Dragon Fantasy: The Black Tome of Ice	RPG	Muteki Corp.	Unreleased
Dragon Fin Soup	RPG, roguelike	Grimm Bros	Nov 3, 2015
Dragon's Crown Pro	Action RPG, beat 'em up	Atlus	May 15, 2018
Dragon Quest Builders	RPG, sandbox	Square Enix	Oct 14, 2016
Dragon Quest Builders 2	RPG	Square Enix	Unreleased
Dragon Quest Heroes	RPG	Square Enix	Oct 16, 2015
Dragon Quest Heroes II	RPG	Square Enix	Apr 28, 2017
Dragon Quest X	MMORPG	Square Enix	Unreleased
Dragon Quest XI	RPG	Square Enix	Sep 4, 2018
Dragon's Dogma: Dark Arisen	Action RPG	Capcom	Oct 3, 2017
Drawful 2	Party, trivia	Jackbox Games	Jun 21, 2016
Drawn to Death	MOBA	Sony Interactive Ent.	Apr 4, 2017
Drifter	Sandbox	Celsius Game Studios	2018
Dreamfall Chapters: The Longest Journey	Adventure	Deep Silver	Mar 24, 2017
Dreams	Sandbox	Sony Computer Ent.	2019
Dreii	Puzzle	bitforge	Mar 9, 2016
Driveclub	Racing	Sony Computer Ent.	Oct 8, 2014
Driveclub Bikes	Racing	Sony Computer Ent.	Oct 27, 2015
Duck Game	Party, platform	Adult Swim Games	Aug 22, 2017
Duke Nukem 3D: 20th Anniversary World Tour	First-person shooter	Gearbox Software	Oct 11, 2016
Dungeons 2	Strategy	Kalypso Media	May 27, 2016
Dungeons 3	Strategy	Kalypso Media	Oct 13, 2017
Dust: An Elysian Tail	Action RPG	Humble Hearts	Oct 8, 2014
Dustoff Heli Rescue 2	Action	Ratalaika Games	TBA
The Dwarves	RPG	King Art Games	Dec 1, 2016
Dying Light	Action-adventure, survival horror	Warner Bros Ent.	Jan 30, 2015
Dying Light 2	Action-adventure, survival horror	Techland	2019
Dynasty Warriors 8: Empires	Hack and slash	Tecmo Koei	Jan 30, 2015
Dynasty Warriors 8: Xtreme Legends Complete Edition	Action RPG	Tecmo Koei	Apr 4, 2014
Dynasty Warriors 9	Hack and slash	Koei Tecmo	Feb 13, 2018
Dynasty Warriors: Godseekers	Tactical RPG	Tecmo Koei	Feb 1, 2017
Earth Atlantis	Shoot 'em up	Headup Games	2018
EA Sports UFC	Fighting, sport	Electronic Arts	Jun 17, 2014
EA Sports UFC 2	Fighting, sport	Electronic Arts	Mar 17, 2016
EA Sports UFC 3	Fighting, sport	Electronic Arts	Feb 2, 2018
Earth Defense Force 4.1	Third-person shooter	D3 Publisher	Feb 12, 2016
Earth Defense Force 5	Action	D3 Publisher	Unreleased
Earth Defense Force: Iron Rain	Action	D3 Publisher	Unreleased
Earthfall	First-person shooter	Holospark Games	Jul 13, 2018
Earthlock: Festival of Magic	RPG	Snowcastle Games	Jan 27, 2017
Earth Wars	Side-scroller	Rising Star Games	Oct 28, 2016
Echo	Action, stealth	Ultra Ultra	Oct 11, 2017
Edge of Eternity	RPG	Midgar Studio	2018
Eitr	Action RPG	Devolver Digital	2018
The Elder Scrolls Online	MMORPG	Bethesda Softworks	Jun 9, 2015
The Elder Scrolls V: Skyrim – Special Edition	Action RPG	Bethesda Softworks	Oct 28, 2016
Electronic Super Joy	Platform	Michael Todd	Aug 23, 2016
ELEX	Action RPG	Nordic Games	Oct 17, 2017
Elliot Quest	Platform-adventure, metroidvania	Ansimuz Games	May 11, 2017
Elite: Dangerous	Space trading and combat	Frontier Developments	Jun 27, 2017
Emily Wants to Play	Survival horror	SKH Apps	Aug 9, 2016
Energy Hook	Action-adventure	Happion Labs	Jul 5, 2016
Enigmatis: The Ghosts of Maple Creek	Hidden object	Artifex Mundi	Jan 24, 2017
Enter the Gungeon	Roguelike, shoot 'em up	Devolver Digital	Apr 5, 2016
Entwined	Action-adventure	Sony Computer Ent.	Jun 9, 2014
Erica	Interactive drama	Sony Interactive Ent.	TBA
Escape Plan	Puzzle	Sony Computer Ent.	Nov 29, 2013
Escape Goat 2	Platform, puzzle	Double Fine Prod.	Nov 26, 2014
The Escapists	Puzzle, RPG	Team17	May 29, 2015
The Escapists 2	Strategy RPG	Team17	Aug 22, 2017
Ether One	Adventure, puzzle	White Paper Games	May 5, 2015
Euro Fishing	Simulation	Dovetail Games	Apr 11, 2017
Eve: Valkyrie - Warzone	Space Shooter	CCP Games	Sep 26, 2017
Eventide: Slavic Fable	Hidden object	Artifex Mundi	Apr 25, 2017
Everspace	Shooter	BadLand Games	May 29, 2018
Everybody's Golf	Sport	Sony Computer Ent.	Aug 30, 2017
Everybody's Gone to the Rapture	Adventure	Sony Computer Ent.	Aug 11, 2015
Everything	Adventure	Double Fine Prod.	Mar 21, 2017
The Evil Within	Survival horror	Bethesda Softworks	Oct 17, 2014
The Evil Within 2	Survival horror	Bethesda Softworks	Oct 13, 2017
Evolve	First-person shooter	2K Games	Feb 10, 2015
Exile's End	Action	Xseed Games	Oct 26, 2016
Exist Archive	Role-playing	Spike Chunsoft	Oct 18, 2016
Extinction	Action-adventure	Maximum Games	Apr 10, 2018
F1 2015	Racing	Codemasters	Jun 10, 2015
F1 2016	Racing	Codemasters	Aug 19, 2016
F1 2017	Racing	Codemasters	Aug 25, 2017
Fairy Fencer F: Advent Dark Force	RPG	Idea Factory	Jul 29, 2016
The Fall	Platform	Over the Moon	Jul 14, 2015
Fallen Legion: Sins of an Empire	Action RPG	Acttil	Jul 25, 2017
Fallout 4	Action RPG	Bethesda Softworks	Nov 10, 2015
Fallout 76	Action RPG	Bethesda Softworks	Nov 14, 2018
Fantasy Strike	Fighting	Sirlin Games	Q1 2019
Far Cry 4	First-person shooter	Ubisoft	Nov 20, 2014
Far Cry 5	First-person shooter	Ubisoft	Mar 27, 2018
Far Cry Primal	Action-adventure	Ubisoft	Feb 23, 2016
FAR: Lone Sails	Adventure	Mixtvision	May 17, 2018
Farming Simulator 15	Simulation	Focus Home Int.	May 21, 2015
Farming Simulator 17	Simulation	Focus Home Int.	Oct 24, 2016
Farside	Battle royal	Perfect World Games	TBA
Fate/Extella: The Umbral Star	Action	Marvelous	Jan 20, 2017
Fat Princess Adventures	Action-adv, hack and slash	Sony Computer Ent.	Dec 5, 2015
Fault Milestone One	Visual novel	Sekai Project	TBA
Fe	Adventure	Electronic Arts	Feb 16, 2018
Feist	Platform, puzzle	Finji Games	Dec 16, 2016
Fenix Furia	Platform	Green Lava Studios	Jun 7, 2016
Feudal Alloy	Metroidvania	Attu Games	TBA
Fez	Platform, puzzle	Polytron Corp	Mar 26, 2014
Fibbage	Party, trivia	Jackbox Games	Unreleased
FIFA 14	Sport	Electronic Arts	Nov 29, 2013
FIFA 15	Sport	Electronic Arts	Sep 23, 2014
FIFA 16	Sport	Electronic Arts	Sep 24, 2015
FIFA 17	Sports	Electronic Arts	Sep 29, 2016
FIFA 18	Sports	Electronic Arts	Sep 29, 2017
FIFA 19	Sports	Electronic Arts	Sep 28, 2018
Fighting EX Layer	Fighting	Arika	Jun 28, 2018
Figment	Adventure, puzzle	Bedtime Digital	2018
Filthy Lucre	Action, stealth	Fabrik Games	Sep 7, 2016
Final Fantasy VII	RPG	Square Enix	Dec 5, 2015
Final Fantasy VII Remake	Action RPG	Square Enix	TBA
Final Fantasy IX	RPG	Square Enix	Sep 19, 2017
Final Fantasy X/X-2 HD Remaster	RPG	Square Enix	May 15, 2015
Final Fantasy XII: The Zodiac Age	RPG	Square Enix	Jul 11, 2017
Final Fantasy XIV: A Realm Reborn	MMORPG	Square Enix	Apr 14, 2014
Final Fantasy XV	Action RPG	Square Enix	Nov 29, 2016
Final Fantasy Type-0 HD	Action RPG	Square Enix	Mar 20, 2015
Final Horizon	Tower defense	Eiconic Games	Dec 5, 2014
The Final Station	Platform	tinyBuild	Sep 6, 2016
Fire Pro Wrestling World	Sports	Spike Chunsoft	Sep 28, 2018
Firewatch	Adventure	Campo Santo	Feb 9, 2016
Fist of the North Star: Lost Paradise	Action-adventure	Sega	Oct 2, 2018
The Flame in the Flood	Roguelike, survival	Curve Digital	Jan 17, 2017
Flame Over	Action	Laughing Jackal	Sep 16, 2015
FlatOut 4: Total Insanity	Racing	Strategy First	Mar 17, 2017
Flinthook	Action, platform	Tribute Games	Apr 14, 2017
Flipping Death	Adventure	Zoink	Aug 7, 2018
Flockers	Puzzle	Team17	Sep 19, 2014
flOw	Life simulation	Sony Computer Ent.	Nov 29, 2013
Flower	Adventure	Sony Computer Ent.	Nov 29, 2013
Fluster Cluck	Party	Loot Ent.	Oct 14, 2017
For Honor	Adventure	Ubisoft	Feb 14, 2017
For the King	Action	IronOak Games	TBA
Forced	Action RPG	BetaDwarf	Nov 29, 2013
The Forest	Survival adventure	SKS Games	Nov 6, 2018
Forgotton Anne	Adventure	Square Enix	May 15, 2018
Forma.8	Action-adventure	MixedBag	Feb 28, 2017
Foul Play	Action-adv, beat 'em up	Devolver Digital	Feb 23, 2016
Four Sided Fantasy	Platform, puzzle	Serenity Forge	Aug 31, 2016
Fragments of Him	Adventure	Sassybot	Sep 26, 2017
Frantics	Party	NapNok Games	Mar 7, 2018
Freedom Planet	Platform	GalaxyTrail	Mar 21, 2017
Friday the 13th: The Game	Survival horror	IllFonic	May 26, 2017
Full Metal Panic! Fight: Who Dares Wins	Strategy RPG	Bandai Namco Ent.	TBA
Full Mojo Rampage	Action RPG	Nicalis	Jun 28, 2016
Full Throttle Remastered	Graphic adventure	Double Fine Prod.	Apr 18, 2017
Furi	Action, shoot 'em up	The Game Bakers	Jul 5, 2016
Fushigi no Gensōkyō 3	Dōjin	Mediascape	TBA
Future Unfolding	Adventure, puzzle	Spaces of Play	May 16, 2017
FutureGrind	Action	Milkbag Games	2018
Futuridium EP Deluxe	Shooter, puzzle	MixedBag Games	Sep 30, 2014
Galak-Z: The Dimensional	Shooter	17-Bit	Aug 5, 2015
Gal*Gun: Double Peace	Rail shooter	Alchemist	Mar 11, 2016
Gal*Gun 2	Rail shooter	Inti Creates	Apr 13, 2018
Gal Gunvolt	Platform	Inti Creates	Unreleased
Game of Thrones	Graphic adventure	Telltale Games	Dec 3, 2014
Gang Beasts	Party	Double Fine Prod.	Dec 12, 2017
The Gardens Between	Puzzle	The Voxel Agents	Sep 20, 2018
Garou: Mark of the Wolves	Fighting	SNK Playmore	Dec 3, 2016
Gas Guzzlers Extreme	Vehicular combat	Iceberg Int.	2018
Gauntlet: Slayer Edition	Hack and slash	Warner Bros Int Ent	Aug 11, 2015
Gemini: Heroes Reborn	Action-adventure	Phosphor Games	Jan 27, 2016
Gem Smashers	Puzzle	Funbox Media	Feb 24, 2017
Generation Zero	Action	Avalanche Studios	2019
Gensō No Rondo	2D arena fighter	PlayDoujin	Unreleased
Geometry Wars 3: Dimensions	Multidirectional shooter	Sierra Ent	Nov 25, 2014
Get Even	First-person shooter	Bandai Namco Ent.	Jun 23, 2017
Ghost Blade HD	Action	2Dream	Feb 28, 2017
Ghost of a Tale	Adventure, stealth	SeithCG	Feb 2019
Ghost of Tsushima	Action, open world	Sony Interactive Ent.	TBA
Giana Sisters: Twisted Dreams - Director's Cut	Platform	Black Forest Games	Dec 9, 2014
Girls und Panzer: Dream Tank Match	Action	Bandai Namco Ent.	Unreleased
Glitched	RPG	En House Studios	TBA
Gnog	Adventure, puzzle	Ko-Op	Unreleased
Goat Simulator	Action	Coffee Stain Studios	Aug 11, 2015
God Eater Resurrection	Action RPG	Bandai Namco Ent.	Aug 30, 2016
God Eater 2: Rage Burst	Action RPG	Bandai Namco Ent.	Aug 30, 2016
God Eater 3	Action RPG	Bandai Namco Ent.	Q1 2019
God of War III Remastered	Action-adventure	Sony Computer Ent.	Jul 15, 2015
God of War	Action-adventure	Sony Interactive Ent.	Apr 20, 2018
Godling	First-person adventure	Solfar Studios	TBA
God Wars: Future Past	Tactical RPG	Kadokawa Games	Jun 16, 2017
Godzilla: The Game	Action-adventure	Bandai Namco Ent.	Jul 14, 2015
The Golf Club	Sport	HB Studios	Aug 26, 2014
The Golf Club 2	Sport	HB Studios	Jun 27, 2017
Gone Home	Adventure	Midnight City	Feb 12, 2016
Goosebumps: The Game	Point-and-click adventure	WayForward	Oct 13, 2015
Graceful Explosion Machine	Shoot 'em up	Vertex Pop	Aug 8, 2017
Granblue Fantasy Project Re: Link	RPG	Cygames	TBA
Grand Ages: Medieval	Strategy	Kalypso Media	Oct 9, 2015
Grand Kingdom	Tactical RPG	Spike Chunsoft	Jun 17, 2016
Grand Prix Rock N Racing	Racing	Unfinished Pixel	Oct 7, 2016
Grand Theft Auto V	Action-adv, open world	Rockstar Games	Nov 18, 2014
Gran Turismo Sport	Racing	Sony Computer Ent.	Oct 18, 2017
Grave	Survival horror	Broken Window Studios	TBA
Gravel	Racing	Milestone S.r.l.	Feb 27, 2018
Gravity Ghost	Puzzle	Ivy Games	TBA
Gravity Rush Remastered	Action RPG	Sony Computer Ent.	Feb 10, 2016
Gravity Rush 2	Action RPG	Sony Interactive Ent.	Jan 20, 2017
Gray Dawn	Adventure, horror		TBA
Greedfall	Action RPG	Focus Home Int.	2019
Grim Legends: The Forsaken Bride	Hidden object	Artifex Mundi	Feb 28, 2017
Grip: Combat Racing	Racing	Caged Element	Nov 6, 2018
Grim Fandango Remastered	Graphic adventure	Disney Int. Studios	Jan 28, 2015
Grow Home	Adventure, platform	Ubisoft	Sep 1, 2015
Grow Up	Adventure	Ubisoft	Aug 16, 2016
Guacamelee! Super Turbo Championship Edition	Action-adv, platform	DrinkBox Studios	Jul 2, 2014
Guacamelee! 2	Platform, beat 'em up	DrinkBox Studios	Aug 21, 2018
Guardians of the Galaxy: The Telltale Series	Graphic adventure	Telltale Games	Apr 18, 2017
Guardians of the Rose	2D, RPG	Pixel x Pixel Games	TBA
Guilty Gear Xrd: Sign	Fighting	Aksys Games	Jun 3, 2015
Guilty Gear Xrd: Revelator	Fighting	Arc System Works	Jun 10, 2016
Guitar Hero Live	Music, rhythm	Activision	Oct 23, 2015
Gundam Breaker 3	Mech-combat	Bandai Namco Ent.	Unreleased
New Gundam Breaker	Mech-combat	Bandai Namco Ent.	Jun 22, 2018
SD Gundam G Generation Genesis	Strategy RPG	Bandai Namco Ent.	TBA
Gundam Versus	Mech-combat	Bandai Namco Ent.	Sep 29, 2017
Gungrave G.O.R.E.	Third-person shooter	Iggymob	TBA
Gunhead	Action, shooter	Alientrap	2018
Guns, Gore and Cannoli	Action, platform	Crazy Monkey Studios	Dec 8, 2015
Guns, Gore and Cannoli 2	Action, platform	Crazy Monkey Studios	TBA
Gunscape	First-person shooter	Blowfish Studios	Mar 1, 2016
Guns of Icarus Alliance	Action, strategy	Muse Games	May 1, 2018
Gunsport	Sport	Iron Galaxy Studios	TBA
H-Hour: World's Elite	Tactical shooter	SOF Studios	TBA
H1Z1: King of the Kill	MMO, deathmatch	Daybreak Game Company	TBA
Habitat: A Thousand Generations in Orbit	Strategy	4gency	TBA
.hack//G.U. Last Recode	Action RPG	Bandai Namco Ent.	Nov 3, 2017
Hakoniwa Company Works	RPG, sandbox	Nippon Ichi Software	Unreleased
Hand of Fate	Action RPG	Defiant Development	Feb 17, 2015
Hand of Fate 2	Action RPG	Defiant Development	Nov 7, 2017
Hard Reset: Redux	First-person shooter	Gambitious Ent	Jun 3, 2016
Hardware: Rivals	Vehicular combat	Sony Computer Ent.	Jan 5, 2016
Harvest Moon: Light of Hope Special Edition	RPG, simulation	Natsume	Jun 22, 2018
Hatoful Boyfriend	Visual novel	Devolver Digital	Jul 22, 2015
Hatsune Miku: Project DIVA Future Tone	Rhythm	Sega	Jan 10, 2017
Hatsune Miku: Project DIVA X	Rhythm	Sega	Aug 30, 2016
Headlander	Action-adventure	Adult Swim Games	Jul 26, 2016
Headsnatchers	Action, party	Iceberg Int.	2018
Heart&Slash	3D brawler	BadLand Games	Jun 24, 2016
Heart Forth, Alicia	Action RPG	TBA	TBA
Heaven's Vault	Adventure	Inkle Studios	2018
Heavy Rain	Interactive drama	Sony Computer Ent.	Mar 2, 2016
Hellblade: Senua's Sacrifice	Action, hack and slash	Ninja Theory	Aug 8, 2017
Helldivers	Shoot 'em up	Sony Computer Ent.	Mar 4, 2015
Here They Lie	Horror	Sony Interactive Ent.	Oct 13, 2016
Her Majesty's Spiffing	Point-and-click adventure	Billy Goat Ent.	Dec 13, 2016
Hero Defense	Tower defense	Headup Games	2018
Hero Siege	Action RPG, hack and slash, roguelike,	Panic Art Studios	TBA
Hidden Agenda	Interactive drama	Sony Interactive Ent.	Oct 24, 2017
Hitman	Action, stealth	Square Enix	Mar 11, 2016
Hitman 2	Stealth	Warner Bros. Entertainment	Nov 13, 2018
Hitman Go	Puzzle	Square Enix	Feb 23, 2016
Hob	Action-adventure	Sony Interactive Entertainment	Sep 26, 2017
Hohokum	Adventure	Sony Computer Entertainment	Aug 13, 2014
Hollow Knight	Metroidvania	Team Cherry	Sep 26, 2018
Home	Survival horror	Benjamin Rivers	Apr 15, 2015
Home Free	RPG	TBA	TBA
Homefront: The Revolution	First-person shooter	Deep Silver	May 20, 2016
The Hong Kong Massacre	Shooter	Captain Rogue	2018
HoPiKo	Platform	Merge Games	Sep 21, 2016
Horizon Chase Turbo	Racing	Aquiris Studio	May 15, 2018
Horizon Zero Dawn	Action RPG	Sony Interactive Entertainment	Mar 1, 2017
Hotchkiss [ja]	Visual novel	TGL	Unreleased
Hotline Miami	Top-down shooter	Devolver Digital	Aug 20, 2014
Hotline Miami 2: Wrong Number	Top-down shooter	Devolver Digital	Mar 11, 2015
Hover: Revolt of Gamers	Platform	The Sidekicks	TBA
How To Survive: Storm Warning Edition	Action RPG, survival	505 Games	Oct 29, 2014
How to Survive 2	Action RPG, survival	505 Games	Feb 6, 2017
Hue	Puzzle platformer	Curve Digital	Aug 30, 2016
The Hum: Abductions	Survival horror	Totwise Studios	TBA
Human: Fall Flat	Physics, puzzle	Curve Digital	Unreleased
Hunt: Showdown	Action RPG	Crytek	TBA
The Huntsman: Winter's Curse	Adventure, RPG	Desert Owl Games	Aug 23, 2016
Hyperdrive Massacre	Racing	34BigThings	TBA
Hyper Light Drifter	Action RPG	Heart Machine	Jul 26, 2016
Hyper Void	Shooter	IN|Framez	Sep 8, 2015
I Am Bread	Puzzle	Bossa Studios	Aug 25, 2015
I Am Setsuna	RPG	Square Enix	Jul 19, 2016
Icey	Side-scroller	X.D. Network	Unreleased
Iconoclasts	Action, platform	Bifrost Entertainment	Jan 23, 2018
The Idolmaster Platinum Stars	Music, rhythm	Bandai Namco Entertainment	Unreleased
The Idolmaster: Stella Stage	Music, rhythm	Bandai Namco Entertainment	Unreleased
Ikaruga	Shoot 'em up	Nicalis	Jun 29, 2018
Impact Winter	Survival	Bandai Namco Entertainment	Apr 5, 2018
Immortal Redneck	Shooter	CremaGames	Feb 27, 2018
Immortal: Unchained	Shooter	Toadman Interactive	2018
Inazuma Eleven Ares	Role-playing, sports	Level-5	2019
The Incredible Adventures of Van Helsing	Action RPG	NeocoreGames	Mar 1, 2017
The Incredible Adventures of Van Helsing II	Action RPG	NeocoreGames	Aug 8, 2017
Industry Giant II	Business simulation	UIG Entertainment	Dec 20, 2016
Indivisible	Action RPG	505 Games	2019
Infamous First Light	Action-adventure	Sony Computer Entertainment	Aug 27, 2014
Infamous Second Son	Action-adventure	Sony Computer Entertainment	Mar 21, 2014
Infinifactory	Puzzle	Zachtronics	Dec 22, 2015
Infinite Minigolf	Sport	Zen Studios	Jul 25, 2017
Infinium Strike	Tower defense	Codex Worlds	TBA
Injustice: Gods Among Us Ultimate Edition	Fighting	Warner Bros Int. Ent.	Nov 29, 2013
Injustice 2	Fighting	Warner Bros Int. Ent.	May 16, 2017
The Inner World	Point-and-click adventure	Headup Games	Mar 31, 2017
The Inpatient	Interactive drama	Sony Interacive Ent.	Jan 24, 2018
Insane Robots	Turn-based strategy	Playniac	TBA
Inside	Platform	Playdead	Aug 23, 2016
Inside My Radio	Platform, rhythm	Iceberg Int	May 11, 2015
Insurgency: Sandstorm	First-person shooter	Focus Home Int.	2019
In the Shadows	Platform, puzzle	Colorspace Studio	2018
Inversus	Action, puzzle	Hypersect	Aug 17, 2016
Invisible, Inc.	Turn-based tactics	Klei Ent.	Apr 19, 2016
iO	Platform, puzzle	Gamious	Feb 14, 2017
Ironcast	Puzzle, strategy	Dreadbit	Mar 2, 2016
Ironclad Tactics	Strategy	Zachtronics	Jan 20, 2015
Iron Crypticle	RPG, shooter	Tikipod	Jul 11, 2017
Iron Harvest: 1920+	Real-time strategy	King Art Games	2018
Iron Sea Defenders	Tower defense	8 Floor Games	Jun 14, 2017
Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combat	Action RPG	5pb.	Unreleased
Ittle Dew 2	Action-adventure	Nicalis	Nov 15, 2016
J-Stars Victory VS	Fighting	Bandai Namco Ent.	Jun 26, 2015
The Jackbox Party Pack	Party, trivia	Jackbox Games	Jun 2, 2015
The Jackbox Party Pack 2	Party, trivia	Jackbox Games	Oct 13, 2015
The Jackbox Party Pack 3	Party, trivia	Jackbox Games	Oct 19, 2016
The Jackbox Party Pack 4	Party, trivia	Jackbox Games	Oct 20, 2017
The Jackbox Party Pack 5	Party, trivia	Jackbox Games	Oct 16, 2018
Jamestown+	Shoot 'em up	Final Form Games	Mar 17, 2015
Jazzpunk: Director's Cut	Adventure, art	Adult Swim Games	Oct 19, 2016
Jenny LeClue - Detectivú	Adventure, puzzle	Mografi	Q1 2019
Jeopardy!	Card & Board	Ubisoft	Nov 7, 2017
Jet Car Stunts	Racing	Grip Digital	May 6, 2014
Jetpack Joyride	Platform	Big Ant Studios	Apr 26, 2016
Jikkyou Powerful Pro Baseball	Sport	Konami	Unreleased
Joe Dever's Lone Wolf	RPG	505 Games	Mar 16, 2016
JoJo's Bizarre Adventure: Eyes of Heaven	Fighting	Bandai Namco Ent.	Jul 1, 2016
Jotun: Valhalla Edition	Action-adventure	Thunder Lotus Games	Sep 9, 2016
Journey	Action-adventure	Sony Computer Ent.	Jul 21, 2015
Joysound Dive 2	Karaoke, music	Xing Ent	Unreleased
Jump Force	Fighting	Bandai Namco Ent.	Feb 15, 2019
Jump Stars	Action, party	Curve Digital	Jun 9, 2017
Jurassic World Evolution	Simulation	Frontier Developments	Jun 12, 2018
Just Cause 3	Action-adventure	Square Enix	Dec 1, 2015
Just Cause 4	Action-adventure	Square Enix	Dec 4, 2018
Just Dance 2014	Music, rhythm	Ubisoft	Nov 29, 2013
Just Dance 2015	Music, rhythm	Ubisoft	Oct 23, 2014
Just Dance 2016	Music, rhythm	Ubisoft	Oct 22, 2015
Just Dance 2017	Rhythm	Ubisoft	Oct 27, 2016
Just Dance 2018	Rhythm	Ubisoft	Oct 27, 2017
Just Dance 2019	Rhythm	Ubisoft	Oct 23, 2018
Just Deal With It!	Card game, party	Sony Interactive Ent.	Nov 14, 2018
Kamen Rider: Battride War Genesis	Action, beat 'em up	Bandai Namco Ent.	Unreleased
Karumaruka Circle	Visual novel	Entergram	Unreleased
Kentucky Route Zero	Adventure	Annapurna Interactive	2018
Kerbal Space Program	Simulation	Squad	Unreleased
Kero Blaster	Platform	Playism	Apr 11, 2017
Kholat	Survival horror	Imgn.Pro	Jun 9, 2015
Kick Off Revival	Sport	The Digital Lounge	Jun 24, 2016
KickBeat: Special Edition	Music, rhythm	Zen Studios	Sep 16, 2014
Killing Floor 2	First-person shooter	Iceberg Int.	Nov 18, 2016
Killzone Shadow Fall	First-person shooter	Sony Computer Ent.	Nov 29, 2013
King Oddball	Puzzle	10tons	Apr 1, 2014
The King of Fighters '97 Global Match	Fighting	SNK Playmore	Apr 3, 2018
The King of Fighters XIV	Fighting	SNK Playmore	Aug 26, 2016
Kingdom Come: Deliverance	Action RPG	Deep Silver	Feb 13, 2018
Kingdom Hearts HD 1.5 + 2.5 Remix	Action RPG	Square	Mar 31, 2017
Kingdom Hearts HD 2.8 Final Chapter Prologue	Action RPG	Square Enix	Jan 24, 2017
Kingdom Hearts III	Action RPG	Square Enix	Jan 29, 2019
Kingdom Two Crowns: Shogun	Adventure	Raw Fury	Dec 11, 2018
King's Quest	Adventure	Sierra Ent	Jul 28, 2015
Kissbell [ja]	Visual novel	TGL	Unreleased
Klaus	Platform	La Cosa Ent	Jan 25, 2016
Knack	Platform, beat 'em up	Sony Computer Ent.	Nov 29, 2013
Knack 2	Platform, beat 'em up	Sony Interactive Ent.	Sep 5, 2017
Knights and Bikes	Adventure, platform	Double Fine Productions	TBA
Knock Knock	Adventure, horror	Ice-Pick Lodge	Sep 10, 2015
Knot	Puzzle	Warlock Arts	Jul 19, 2016
Knowledge is Power	Party, quiz	Sony Interactive Ent.	Nov 22, 2017
Knowledge is Power: Decades	Party, quiz	Sony Interactive Ent.	Nov 14, 2018
Kodoku	Survival horror, stealth	Carnivore Studio	TBA
Koi	Adventure, puzzle	Oasis Games	May 3, 2016
Koihime Enbu	Fighting	BaseSon	Unreleased
Kona	Adventure	Parabole Studios	Mar 17, 2017
Kromaia Omega	Shoot 'em up	Rising Star Games	Nov 10, 2015
Kunio-kun: The World Classics Collection	Various	Arc System Works	Unreleased
LA Cops	Action	Team17	Apr 22, 2015
L.A. Noire	Action-adventure	Rockstar Games	Nov 14, 2017
Langrisser I & II HD Remastered	Tactical role-playing	Kadokawa Games	Unreleased
Lara Croft and the Temple of Osiris	Action, platform	Square Enix	Dec 9, 2014
Lara Croft Go	Puzzle	Square Enix	Dec 3, 2016
Laser League	Action	505 Games	May 10, 2018
Laserlife	Rhythm	Choice Provisions	Sep 22, 2015
The Last Blade 2	Fighting	SNK Playmore	May 24, 2016
Last Day of June	Adventure, puzzle	505 Games	Aug 31, 2017
The Last Guardian	Adventure	Sony Interactive Ent.	Dec 7, 2016
The Last of Us Remastered	Action-adventure	Sony Computer Ent.	Jul 30, 2014
The Last of Us: Left Behind	Action-adventure	Sony Computer Ent.	May 12, 2015
The Last of Us Part II	Action-adventure	Sony Interactive Ent.	TBA
The Last Tinker: City of Colors	3D Platform	Unity Games	Aug 20, 2014
LawBreakers	First-person shooter	Nexon	Aug 8, 2017
Laws of Machine	Platform, puzzle	Badri Bebua	Oct 17, 2017
Layers of Fear	Adventure, horror	Bloober Team	Feb 16, 2016
Leap of Fate	Action, rogue-like	Clever-Plays	Unreleased
Leaving Lyndow	Adventure	Eastshade Studios	Unreleased
Left Alive	Action, survival	Square Enix	Mar 5, 2019
The Legend of Heroes	RPG	Nihon Falcom	Unreleased
The Legend of Heroes: Trails of Cold Steel II	RPG	Nihon Falcom	Q1 2019
The Legend of Heroes: Trails of Cold Steel III	RPG	Nihon Falcom	Unreleased
The Legend of Heroes: Trails of Cold Steel IV	RPG	Nihon Falcom	Unreleased
Legend of Kay Anniversary	Platform	Nordic Games	Jul 28, 2015
The Legend of Korra	Action-adventure	Activision	Oct 22, 2014
Lego Batman 3: Beyond Gotham	Action-adventure	Warner Bros Ent.	Nov 14, 2014
Lego City Undercover	Action-adventure	Warner Bros Ent.	Apr 7, 2017
Lego DC Super-Villains	Action-adventure	Warner Bros Ent.	Oct 19, 2018
Lego Dimensions	Action-adventure	Warner Bros Ent.	Sep 29, 2015
Lego Harry Potter Collection Remastered	Action-adventure	Warner Bros Ent.	Oct 21, 2016
The Lego Movie Videogame	Action-adventure	Warner Bros Ent.	Feb 7, 2014
The Lego Ninjago Movie Video Game	Action-adventure	Warner Bros Ent.	Sep 22, 2017
Lego The Hobbit	Action-adventure	Warner Bros Ent.	Apr 11, 2014
Lego Jurassic World	Action-adventure	Warner Bros Ent.	Jun 2, 2015
Lego Marvel Super Heroes	Action-adventure	Warner Bros Ent.	Nov 29, 2013
Lego Marvel Super Heroes 2	Action-adventure	Warner Bros Ent.	Nov 14, 2017
Lego Marvel's Avengers	Action-adventure	Warner Bros Ent.	Jan 16, 2016
